m,n,k,processes,threads,error,generation_time,first_communication_time,second_communication_time,parallel_time,serial_time
32,32,32,4,0,0.000000,0.000061,0.000524,0.000056,0.000132,0.000010
32,32,32,8,0,0.000000,0.000050,0.000480,0.000066,0.000140,0.000007
32,32,32,12,0,0.000000,0.000088,0.000654,0.000119,0.000249,0.000008
32,32,32,16,0,0.000000,0.000073,0.000557,0.000113,0.000261,0.000008
32,32,32,20,0,0.000000,0.000249,0.000741,0.000151,0.000365,0.000007
32,32,32,4,0,0.000000,0.000074,0.000618,0.000061,0.000152,0.000000
32,32,32,8,0,0.000000,0.000069,0.000577,0.000076,0.000174,0.000000
32,32,32,12,0,0.000000,0.000078,0.000438,0.000115,0.000225,0.000000
32,32,32,16,0,0.000000,0.000083,0.000625,0.000131,0.000246,0.000000
32,32,32,20,0,0.000000,0.000266,0.000715,0.000162,0.000369,0.000000
32,32,32,4,0,0.000000,0.000073,0.000428,0.000269,0.000154,0.000000
32,32,32,8,0,0.000000,0.000062,0.000540,0.000088,0.000177,0.000000
32,32,32,12,0,0.000000,0.000086,0.000659,0.000115,0.000221,0.000000
32,32,32,16,0,0.000000,0.000102,0.001000,0.000138,0.000266,0.000000
32,32,32,20,0,0.000000,0.000251,0.000929,0.000199,0.000366,0.000000
32,32,32,4,0,0.000000,0.000053,0.000321,0.000049,0.000116,0.000000
32,32,32,8,0,0.000000,0.000053,0.000341,0.000073,0.000147,0.000000
32,32,32,12,0,0.000000,0.000085,0.000912,0.000122,0.000270,0.000000
32,32,32,16,0,0.000000,0.000071,0.000593,0.000245,0.000254,0.000000
32,32,32,20,0,0.000000,0.000139,0.001001,0.000166,0.000422,0.000000
64,64,64,4,0,0.000000,0.000151,0.000320,0.000078,0.000152,0.000054
64,64,64,8,0,0.000000,0.000113,0.000508,0.000076,0.000180,0.000048
64,64,64,12,0,0.000000,0.000150,0.000793,0.001617,0.000255,0.000054
64,64,64,16,0,0.000000,0.000177,0.000569,0.000163,0.000341,0.000066
64,64,64,20,0,0.000000,0.000263,0.000968,0.002112,0.000445,0.000136
64,64,64,4,0,0.000000,0.000177,0.000354,0.000100,0.000173,0.000000
64,64,64,8,0,0.000000,0.000110,0.000405,0.000071,0.000172,0.000000
64,64,64,12,0,0.000000,0.000149,0.000674,0.001687,0.000283,0.000000
64,64,64,16,0,0.000000,0.000180,0.000901,0.000156,0.000318,0.000000
64,64,64,20,0,0.000000,0.000277,0.000572,0.001450,0.000374,0.000000
64,64,64,4,0,0.000000,0.000142,0.000539,0.000063,0.000135,0.000000
64,64,64,8,0,0.000000,0.000132,0.000629,0.000082,0.000180,0.000000
64,64,64,12,0,0.000000,0.000161,0.000549,0.001588,0.000245,0.000000
64,64,64,16,0,0.000000,0.000161,0.000808,0.000121,0.000278,0.000000
64,64,64,20,0,0.000000,0.000254,0.001252,0.002189,0.000568,0.000000
64,64,64,4,0,0.000000,0.000184,0.000383,0.000083,0.000172,0.000000
64,64,64,8,0,0.000000,0.000149,0.000516,0.000084,0.000389,0.000000
64,64,64,12,0,0.000000,0.000165,0.000645,0.001403,0.000252,0.000000
64,64,64,16,0,0.000000,0.000170,0.000689,0.000148,0.000295,0.000000
64,64,64,20,0,0.000000,0.000287,0.000583,0.001942,0.000437,0.000000
128,128,128,4,0,0.000000,0.000688,0.000385,0.000861,0.000380,0.000356
128,128,128,8,0,0.000000,0.000380,0.000629,0.000874,0.000240,0.000445
128,128,128,12,0,0.000000,0.000454,0.000511,0.001845,0.000345,0.000468
128,128,128,16,0,0.000000,0.000912,0.001002,0.001779,0.000596,0.000752
128,128,128,20,0,0.000000,0.000583,0.000719,0.002184,0.000384,0.000340
128,128,128,4,0,0.000000,0.000696,0.000356,0.000745,0.000370,0.000000
128,128,128,8,0,0.000000,0.000533,0.000712,0.001050,0.000337,0.000000
128,128,128,12,0,0.000000,0.000468,0.000540,0.002511,0.000309,0.000000
128,128,128,16,0,0.000000,0.000976,0.001435,0.001806,0.000719,0.000000
128,128,128,20,0,0.000000,0.000797,0.001091,0.001793,0.000504,0.000000
128,128,128,4,0,0.000000,0.000697,0.000370,0.000839,0.000375,0.000000
128,128,128,8,0,0.000000,0.000442,0.000533,0.000856,0.000263,0.000000
128,128,128,12,0,0.000000,0.000486,0.000650,0.002522,0.000321,0.000000
128,128,128,16,0,0.000000,0.000532,0.000761,0.001325,0.000331,0.000000
128,128,128,20,0,0.000000,0.000702,0.000909,0.003350,0.000549,0.000000
128,128,128,4,0,0.000000,0.000471,0.000326,0.000730,0.000266,0.000000
128,128,128,8,0,0.000000,0.000394,0.000476,0.000920,0.000240,0.000000
128,128,128,12,0,0.000000,0.000440,0.000495,0.001913,0.000343,0.000000
128,128,128,16,0,0.000000,0.000510,0.000599,0.001201,0.000352,0.000000
128,128,128,20,0,0.000000,0.000868,0.000868,0.003002,0.000516,0.000000
256,256,256,4,0,0.000000,0.002297,0.000354,0.000945,0.001509,0.002258
256,256,256,8,0,0.000000,0.002541,0.000489,0.001425,0.001337,0.002968
256,256,256,12,0,0.000000,0.001806,0.000643,0.002682,0.001254,0.003323
256,256,256,16,0,0.000000,0.001588,0.000777,0.001628,0.000842,0.002435
256,256,256,20,0,0.000000,0.003001,0.000574,0.002552,0.001492,0.003406
256,256,256,4,0,0.000000,0.002102,0.000522,0.001040,0.001570,0.000000
256,256,256,8,0,0.000000,0.002038,0.000646,0.001279,0.001168,0.000000
256,256,256,12,0,0.000000,0.001707,0.000497,0.002288,0.001108,0.000000
256,256,256,16,0,0.000000,0.002099,0.000747,0.001820,0.000931,0.000000
256,256,256,20,0,0.000000,0.003011,0.000693,0.002575,0.001528,0.000000
256,256,256,4,0,0.000000,0.002406,0.000581,0.000946,0.001434,0.000000
256,256,256,8,0,0.000000,0.001582,0.000702,0.001266,0.000799,0.000000
256,256,256,12,0,0.000000,0.001798,0.000618,0.002143,0.001207,0.000000
256,256,256,16,0,0.000000,0.001956,0.000524,0.001729,0.000932,0.000000
256,256,256,20,0,0.000000,0.002166,0.000748,0.003357,0.001244,0.000000
256,256,256,4,0,0.000000,0.001861,0.000481,0.000948,0.001375,0.000000
256,256,256,8,0,0.000000,0.001945,0.000486,0.001440,0.001177,0.000000
256,256,256,12,0,0.000000,0.001835,0.000515,0.002473,0.001115,0.000000
256,256,256,16,0,0.000000,0.001884,0.000531,0.001793,0.001008,0.000000
256,256,256,20,0,0.000000,0.002986,0.000915,0.003606,0.001493,0.000000
512,512,512,4,0,0.000000,0.008020,0.000563,0.001766,0.010808,0.021878
512,512,512,8,0,0.000000,0.005733,0.000589,0.002462,0.006023,0.029578
512,512,512,12,0,0.000000,0.007605,0.000557,0.004904,0.007376,0.028702
512,512,512,16,0,0.000000,0.007534,0.000528,0.004478,0.006358,0.028343
512,512,512,20,0,0.000000,0.009380,0.000763,0.006461,0.006491,0.028681
512,512,512,4,0,0.000000,0.007900,0.000457,0.001860,0.010545,0.000000
512,512,512,8,0,0.000000,0.009289,0.000600,0.002706,0.010378,0.000000
512,512,512,12,0,0.000000,0.007012,0.000651,0.003951,0.007323,0.000000
512,512,512,16,0,0.000000,0.006527,0.000709,0.004536,0.005745,0.000000
512,512,512,20,0,0.000000,0.010618,0.000711,0.006810,0.006456,0.000000
512,512,512,4,0,0.000000,0.008031,0.000600,0.001574,0.010691,0.000000
512,512,512,8,0,0.000000,0.005819,0.000348,0.002114,0.005653,0.000000
512,512,512,12,0,0.000000,0.006340,0.000514,0.003938,0.007460,0.000000
512,512,512,16,0,0.000000,0.008164,0.000523,0.004558,0.005765,0.000000
512,512,512,20,0,0.000000,0.010636,0.000979,0.006579,0.007024,0.000000
512,512,512,4,0,0.000000,0.007608,0.000449,0.001651,0.010122,0.000000
512,512,512,8,0,0.000000,0.005818,0.000472,0.002346,0.005908,0.000000
512,512,512,12,0,0.000000,0.006556,0.000538,0.004631,0.007506,0.000000
512,512,512,16,0,0.000000,0.007947,0.000511,0.004521,0.007032,0.000000
512,512,512,20,0,0.000000,0.008975,0.000790,0.006486,0.006069,0.000000
1024,1024,1024,4,0,0.000000,0.026003,0.000394,0.005134,0.084721,0.197828
1024,1024,1024,8,0,0.000000,0.023044,0.000378,0.009061,0.046412,0.238379
1024,1024,1024,12,0,0.000000,0.027357,0.000574,0.014954,0.060147,0.238460
1024,1024,1024,16,0,0.000000,0.023901,0.000747,0.020469,0.047686,0.239209
1024,1024,1024,20,0,0.000000,0.030010,0.000969,0.025780,0.039811,0.239264
1024,1024,1024,4,0,0.000000,0.040856,0.000393,0.006933,0.157085,0.000000
1024,1024,1024,8,0,0.000000,0.020060,0.000609,0.008896,0.046415,0.000000
1024,1024,1024,12,0,0.000000,0.024480,0.000657,0.014679,0.060040,0.000000
1024,1024,1024,16,0,0.000000,0.024189,0.000581,0.020852,0.047612,0.000000
1024,1024,1024,20,0,0.000000,0.028920,0.000851,0.026364,0.040169,0.000000
1024,1024,1024,4,0,0.000000,0.026425,0.000423,0.005156,0.084493,0.000000
1024,1024,1024,8,0,0.000000,0.029381,0.000707,0.010090,0.085690,0.000000
1024,1024,1024,12,0,0.000000,0.024867,0.000572,0.015050,0.059913,0.000000
1024,1024,1024,16,0,0.000000,0.023175,0.000632,0.020435,0.047165,0.000000
1024,1024,1024,20,0,0.000000,0.030147,0.000938,0.025657,0.040185,0.000000
1024,1024,1024,4,0,0.000000,0.026162,0.000346,0.004866,0.084728,0.000000
1024,1024,1024,8,0,0.000000,0.020181,0.000431,0.008794,0.046894,0.000000
1024,1024,1024,12,0,0.000000,0.024662,0.000511,0.014119,0.060161,0.000000
1024,1024,1024,16,0,0.000000,0.026101,0.000784,0.020878,0.047745,0.000000
1024,1024,1024,20,0,0.000000,0.028791,0.000787,0.025624,0.039962,0.000000
2500,2500,2500,4,0,0.000001,0.130527,0.000350,0.036267,0.931557,3.800559
2500,2500,2500,8,0,0.000001,0.110393,0.000387,0.058877,0.514340,3.804303
2500,2500,2500,12,0,0.000001,0.139142,0.000704,0.091625,0.474448,3.519565
2500,2500,2500,16,0,0.000001,0.131062,0.000667,0.120792,0.623087,3.499780
2500,2500,2500,20,0,0.000001,0.135190,0.000658,0.161681,0.505079,3.793023
2500,2500,2500,4,0,0.000000,0.132135,0.000567,0.035005,0.930209,0.000000
2500,2500,2500,8,0,0.000000,0.110320,0.000653,0.062127,0.509101,0.000000
2500,2500,2500,12,0,0.000000,0.139324,0.000755,0.090218,0.479542,0.000000
2500,2500,2500,16,0,0.000000,0.129977,0.000638,0.126014,0.621359,0.000000
2500,2500,2500,20,0,0.000000,0.137912,0.000767,0.159056,0.507829,0.000000
2500,2500,2500,4,0,0.000000,0.156355,0.000557,0.035427,0.932226,0.000000
2500,2500,2500,8,0,0.000000,0.109359,0.000526,0.062475,0.516117,0.000000
2500,2500,2500,12,0,0.000000,0.136477,0.000453,0.090325,0.485736,0.000000
2500,2500,2500,16,0,0.000000,0.137725,0.000461,0.127403,0.622012,0.000000
2500,2500,2500,20,0,0.000000,0.137993,0.000899,0.160258,0.508099,0.000000
2500,2500,2500,4,0,0.000000,0.130432,0.000490,0.035465,0.931468,0.000000
2500,2500,2500,8,0,0.000000,0.163285,0.000489,0.058098,0.542676,0.000000
2500,2500,2500,12,0,0.000000,0.137089,0.000615,0.091243,0.467003,0.000000
2500,2500,2500,16,0,0.000000,0.129866,0.000639,0.122310,0.622388,0.000000
2500,2500,2500,20,0,0.000000,0.135738,0.000883,0.159863,0.508362,0.000000
5000,5000,5000,4,0,0.000001,0.520221,0.000303,0.118216,7.504452,39.523112
5000,5000,5000,8,0,0.000001,0.519069,0.000629,0.177663,3.993507,39.536139
5000,5000,5000,12,0,0.000001,0.571714,0.000649,0.293549,2.720952,39.567333
5000,5000,5000,16,0,0.000001,0.504486,0.000831,0.371413,2.483164,38.953823
5000,5000,5000,20,0,0.000001,0.516878,0.000552,0.484518,2.799079,39.348131
5000,5000,5000,4,0,0.000000,0.515080,0.000472,0.120044,7.494038,0.000000
5000,5000,5000,8,0,0.000000,0.418150,0.000324,0.194430,4.003168,0.000000
5000,5000,5000,12,0,0.000000,0.449824,0.000671,0.292088,2.740277,0.000000
5000,5000,5000,16,0,0.000000,0.489021,0.000611,0.389552,2.562968,0.000000
5000,5000,5000,20,0,0.000000,0.519513,0.000759,0.501849,2.532067,0.000000
5000,5000,5000,4,0,0.000000,0.521716,0.000579,0.117957,7.500929,0.000000
5000,5000,5000,8,0,0.000000,0.419460,0.000580,0.177892,3.994179,0.000000
5000,5000,5000,12,0,0.000000,0.520969,0.000710,0.328279,2.792050,0.000000
5000,5000,5000,16,0,0.000000,0.497204,0.000797,0.358155,2.544679,0.000000
5000,5000,5000,20,0,0.000000,0.512228,0.001005,0.457558,2.759973,0.000000
5000,5000,5000,4,0,0.000000,0.517581,0.000454,0.119559,7.502421,0.000000
5000,5000,5000,8,0,0.000000,0.502755,0.000720,0.176096,3.987627,0.000000
5000,5000,5000,12,0,0.000000,0.470962,0.000830,0.319261,2.760223,0.000000
5000,5000,5000,16,0,0.000000,0.507062,0.000638,0.321880,2.589907,0.000000
5000,5000,5000,20,0,0.000000,0.514906,0.000743,0.488819,2.645653,0.000000
10000,10000,10000,4,0,0.000002,2.074524,0.000326,0.470292,80.576817,320.036223
10000,10000,10000,8,0,0.000002,1.933243,0.000464,0.674530,40.805442,320.482294
10000,10000,10000,12,0,0.000002,1.396986,0.000462,1.083476,27.866335,320.017097
10000,10000,10000,16,0,0.000002,1.603389,0.001039,1.295507,21.712483,317.077675
10000,10000,10000,20,0,0.000002,1.738540,0.000703,1.913254,18.203191,319.761528
10000,10000,10000,4,0,0.000000,2.013786,0.000328,0.475893,79.826983,0.000000
10000,10000,10000,8,0,0.000000,2.027621,0.000520,0.707719,39.134808,0.000000
10000,10000,10000,12,0,0.000000,1.659249,0.000498,1.119825,28.268125,0.000000
10000,10000,10000,16,0,0.000000,1.854503,0.000769,1.317677,21.933499,0.000000
10000,10000,10000,20,0,0.000000,1.740657,0.000713,1.981582,18.082300,0.000000
10000,10000,10000,4,0,0.000000,2.447777,0.000636,0.475318,77.627998,0.000000
10000,10000,10000,8,0,0.000000,1.655161,0.000483,0.629282,40.865287,0.000000
10000,10000,10000,12,0,0.000000,1.417535,0.000624,1.111891,26.412643,0.000000
10000,10000,10000,16,0,0.000000,1.613127,0.000672,1.378042,21.209541,0.000000
10000,10000,10000,20,0,0.000000,1.786268,0.001082,1.823014,18.576594,0.000000
10000,10000,10000,4,0,0.000000,2.027150,0.000444,0.473697,76.481683,0.000000
10000,10000,10000,8,0,0.000000,1.709016,0.000585,0.617785,40.686449,0.000000
10000,10000,10000,12,0,0.000000,1.434339,0.000504,1.304589,27.672420,0.000000
10000,10000,10000,16,0,0.000000,1.563687,0.000497,1.285916,21.216318,0.000000
10000,10000,10000,20,0,0.000000,1.737128,0.000705,1.772221,18.203697,0.000000
2500,2500,32,4,0,0.000000,0.009870,0.000580,0.025687,0.012133,0.027137
2500,2500,32,8,0,0.000000,0.012796,0.000550,0.050542,0.006537,0.031458
2500,2500,32,12,0,0.000000,0.021755,0.000651,0.085192,0.009579,0.031775
2500,2500,32,16,0,0.000000,0.028132,0.000399,0.124508,0.007122,0.031823
2500,2500,32,20,0,0.000000,0.036274,0.001108,0.157689,0.005850,0.030701
2500,2500,32,4,0,0.000000,0.009964,0.000285,0.025684,0.012018,0.000000
2500,2500,32,8,0,0.000000,0.012892,0.000474,0.049630,0.006464,0.000000
2500,2500,32,12,0,0.000000,0.022250,0.000677,0.079299,0.009447,0.000000
2500,2500,32,16,0,0.000000,0.028832,0.000659,0.125155,0.007141,0.000000
2500,2500,32,20,0,0.000000,0.036381,0.000732,0.153902,0.005925,0.000000
2500,2500,32,4,0,0.000000,0.010425,0.000147,0.025915,0.012670,0.000000
2500,2500,32,8,0,0.000000,0.013296,0.000341,0.050060,0.006496,0.000000
2500,2500,32,12,0,0.000000,0.021978,0.000546,0.078837,0.009678,0.000000
2500,2500,32,16,0,0.000000,0.029779,0.000916,0.123648,0.007106,0.000000
2500,2500,32,20,0,0.000000,0.036099,0.000819,0.153744,0.005935,0.000000
2500,2500,32,4,0,0.000000,0.010579,0.000383,0.025807,0.011890,0.000000
2500,2500,32,8,0,0.000000,0.012979,0.000597,0.050527,0.006346,0.000000
2500,2500,32,12,0,0.000000,0.021936,0.000637,0.085134,0.009363,0.000000
2500,2500,32,16,0,0.000000,0.028347,0.000724,0.123380,0.007052,0.000000
2500,2500,32,20,0,0.000000,0.037175,0.001033,0.151004,0.005884,0.000000
2500,2500,64,4,0,0.000000,0.013286,0.000378,0.025785,0.023389,0.055363
2500,2500,64,8,0,0.000000,0.014583,0.000542,0.050446,0.012424,0.056111
2500,2500,64,12,0,0.000000,0.024342,0.000730,0.084552,0.018125,0.056363
2500,2500,64,16,0,0.000000,0.030860,0.000578,0.121909,0.013775,0.054838
2500,2500,64,20,0,0.000000,0.038735,0.000949,0.154835,0.011344,0.060872
2500,2500,64,4,0,0.000000,0.014191,0.000433,0.027680,0.023314,0.000000
2500,2500,64,8,0,0.000000,0.014437,0.000377,0.051150,0.012453,0.000000
2500,2500,64,12,0,0.000000,0.023863,0.000729,0.075659,0.018292,0.000000
2500,2500,64,16,0,0.000000,0.030015,0.000670,0.125056,0.013817,0.000000
2500,2500,64,20,0,0.000000,0.039672,0.000761,0.156000,0.011340,0.000000
